四红,2013/08/28,100000
红发·赤影,2014/8/28,100000
捕风捉影·玄索,2014/8/28,20000
捕风捉影·纵鹰,2014/8/28,20000
彩云归·繁花,2014/8/28,26500
彩云归·桑节,2014/8/28,26500
沧海间·逝水,2014/8/28,36000
沧海间·烟扣,2014/8/28,30000
策马弯弓·河洲,2014/8/28,42500
策马弯弓·若如,2014/8/28,42500
繁·月升,2014/8/28,43200
繁·烛灿,2014/8/28,43200
风华倾国·时难,2014/8/28,50000
风华倾国·谁懂,2014/8/28,50000
贺华岁·谷雨,2014/8/28,28000
贺华岁·情阅,2014/8/28,32000
花开云隐·春松,2014/8/28,20000
花开云隐·秋菊,2014/8/28,20000
火舞阳炎·未翔,2014/8/28,20000
火舞阳炎·杏甜,2014/8/28,20000
紧那罗歌·波吟,2014/8/28,20000
紧那罗歌·晓镜,2014/8/28,20000
罗姆之舞·碧华,2014/8/28,34000
罗姆之舞·皓质,2014/8/28,30000
墨韵青髓·霓,2014/8/28,20000
墨韵青髓·玄,2014/8/28,20000
风露霜华·蚀,2014/8/28,20000
风露霜华·咏,2014/8/28,20000
阳春·冰,2014/8/28,30000
阳春·海,2014/8/28,30500
夜斩白·华年,2014/8/28,200000
夜斩白·月吟,2014/8/28,100000
玉蟒游龙·珥,2014/8/28,20000
玉蟒游龙·鲜,2014/8/28,20000
定风波·白虹惊天,2014/12/18,60000
定风波·苍穹之握,2014/12/18,60000
定风波·烽火连城,2014/12/18,60000
定风波·黑枭散羽,2014/12/18,120000
定风波·君子如龙,2014/12/18,120000
定风波·离魄幽梦,2014/12/18,60000
留春令·绛纱蕴,2015/3/23,3200
留春令·千樱乱,2015/3/23,1500
留春令·越沧溟,2015/3/23,3000
留春令·云叠浪,2015/3/23,5000
留春令·栽火莲,2015/3/23,50000
留春令·祚白翎,2015/3/23,3300
西宫胃宿,2015/3/23,2800
夏初临·霏雨延泽,2015/6/8,600
夏初临·凰尾白绫,2015/6/8,600
夏初临·深宵余梦,2015/6/8,600
夏初临·肆翼漆纱,2015/6/8,600
夏初临·枭皇浴火,2015/6/8,1250
夏初临·一步银华,2015/6/8,600
风不欺·绿野,2015/8/27,2300
风不欺·素晚,2015/8/27,850
红发·火卷珠帘,2015/8/27,39000
剑意白虹礼包,2015/8/27,1800
金池观鱼礼包,2015/8/27,3300
九曲东溟·西天,2015/8/27,300
九曲东溟·渊缘,2015/8/27,110
六翼流苏礼包,2015/8/27,30000
青翎翠羽礼包,2015/8/27,5000
人面春风·华香,2015/8/27,1500
人面春风·剪翼,2015/8/27,1500
山河颂·剑意白虹,2015/8/27,1800
山河颂·金池观鱼,2015/8/27,3200
山河颂·六翼流苏,2015/8/27,28000
山河颂·青翎翠羽,2015/8/27,4800
山河颂·云莲素荷,2015/8/27,1850
山河颂·周公御龙,2015/8/27,4500
桃花流水·清兮,2015/8/27,1550
桃花流水·情悦,2015/8/27,2200
云莲素荷礼包,2015/8/27,450
周公御龙礼包,2015/8/27,4500
大梦千年,2015/9/24,500
千秋岁·暗夜星辰,2015/10/19,950
千秋岁·皎灵素媚,2015/10/19,51600
千秋岁·琼御孤鸾,2015/10/19,650
千秋岁·天辉抱月,2015/10/19,1750
千秋岁·天火流丹,2015/10/19,1080
千秋岁·钰瓣千华,2015/10/19,1200
闇换年轮·宝扇,2015/11/11,2500
闇换年轮·绸绦,2015/11/11,350
闇换年轮·杏芳,2015/11/11,360
闇换年轮·馔玉,2015/11/11,980
金陵意气·春风,2015/11/11,130
金陵意气·福源,2015/11/11,120
金陵意气·鸿图,2015/11/11,120
金陵意气·吉兆,2015/11/11,110
无色舞·寒江,2015/11/11,250
无色舞·落霜,2015/11/11,150
无色舞·凝露,2015/11/11,150
无色舞·雾谷,2015/11/11,150
云间金月·点漆,2015/11/11,5500
云间金月·镶云,2015/11/11,3850
云间金月·星野,2015/11/11,11500
云间金月·月影,2015/11/11,3600
金陵凤,2015/12/12,17000
梅雪馨·鸿度几何,2015/12/12,700
梅雪馨·凤翎鸣冬,2015/12/12,700
梅雪馨·浮刃飒沓,2015/12/12,700
梅雪馨·河汉飞星,2015/12/12,700
梅雪馨·红菱相忆,2015/12/12,700
梅雪馨·暮紫须臾,2015/12/12,700
红发·曙景华年,2016/1/28,1030
金发·因陀罗,2016/2/29,6200
如意金箍,2016/2/29,450
高唐云梦·兰陵幽思,2016/3/24,700
高唐云梦·桃源春晓,2016/3/24,688
高唐云梦·锋芒傲骨,2016/3/24,3150
高唐云梦·落英解语,2016/3/24,550
高唐云梦·秋渚夜雨,2016/3/24,600
高唐云梦·青霄北斗,2016/3/24,740
金发·璨月蝶心,2016/4/28,10000
九壤垂绫·灵运,2016/4/28,700
九壤垂绫·焉何,2016/4/28,550
九壤垂绫·絆染,2016/4/28,1300
九壤垂绫·横慧,2016/4/28,650
兰庭轻罗·金烬,2016/4/28,1000
兰庭轻罗·新翠,2016/4/28,900
兰庭轻罗·冷绣,2016/4/28,1040
兰庭轻罗·凤香,2016/4/28,980
宿世明光·皇穷绝封,2016/6/8,1200
宿世明光·血凰流火,2016/6/8,1000
宿世明光·月华织光,2016/6/8,1000
宿世明光·莹扇轻罗,2016/6/8,1200
宿世明光·血色惊鸿,2016/6/8,1000
宿世明光·紫烟薄云,2016/6/8,1000
禹梦九天·胭脂,2016/7/14,350
禹梦九天·蓝翼,2016/7/14,350
禹梦九天·紫羽,2016/7/14,350
禹梦九天·缃黄,2016/7/14,350
长天秋鸿·嫣红,2016/7/14,300
长天秋鸿·湖蓝,2016/7/14,350
长天秋鸿·黍麦,2016/7/14,340
长天秋鸿·天霜,2016/7/14,310
春水鸿颜礼盒,2016/8/8,3000
九阙天影礼盒,2016/8/25,7800
云锦梦华礼盒,2016/8/25,1570
金风玉露·素玉鸾翔,2016/8/25,310
金风玉露·晴云紫氛,2016/8/25,650
金风玉露·鹤梳翎,2016/8/25,300
金风玉露·山樱语,2016/8/25,400
金风玉露·澹烟生,2016/8/25,500
金风玉露·青青子衿,2016/8/25,500
红发·烨华,2016/8/25,250
岚空月隐礼盒·古影,2016/9/14,1020
